user,time,lat,lon,device,anomaly,login_hour,distance_km,new_device
alice,2025-10-14 12:14:30.059550,40.72796097000634,-74.05257302914178,Laptop,0,12,4.271665910768856,0
alice,2025-10-14 09:14:30.062814,40.75945691703348,-74.10216399042486,Laptop,0,9,9.620945848590795,0
bob,2025-10-14 14:14:30.062829,34.09898591244535,-118.236013402653,Phone,0,14,5.250305770939434,0
bob,2025-10-14 16:14:30.062835,34.14997910161899,-118.25797996146034,Laptop,0,16,10.951753013516692,0
alice,2025-10-13 07:14:30.062840,40.665233253363795,-73.92787113792417,Phone,0,7,8.448035388165163,0
alice,2025-10-13 11:14:30.062845,40.75916013479029,-74.03532745570402,Phone,0,11,5.716636391425377,0
bob,2025-10-13 20:14:30.062848,33.995353435584256,-118.22426990174749,Tablet,0,20,6.5697885640531215,0
bob,2025-10-13 07:14:30.062851,33.97648190543321,-118.21598556654325,Phone,0,7,8.79843659333437,0
alice,2025-10-12 18:14:30.062855,40.784799919179456,-74.06440381849356,Tablet,0,18,9.396892738609832,0
alice,2025-10-12 07:14:30.062858,40.77827092782916,-74.10573416942046,Tablet,0,7,11.117147120406468,0
bob,2025-10-12 09:14:30.062861,34.04730228531324,-118.1744677020505,Laptop,0,9,6.401630384151489,0
bob,2025-10-12 11:14:30.062864,33.99669895053379,-118.29919744808903,Laptop,0,11,8.015309907657436,0
alice,2025-10-11 12:14:30.062867,40.625459399261906,-73.924569816591,Phone,0,12,11.894802807577095,0
alice,2025-10-11 11:14:30.062870,40.77841224947098,-74.06993074998806,Tablet,0,11,9.068289302417138,0
bob,2025-10-11 15:14:30.062873,34.121269833954145,-118.23252031255012,Phone,0,15,7.748913709381885,0
bob,2025-10-11 20:14:30.062876,34.13331439328596,-118.24795445980992,Laptop,0,20,9.028013326067665,0
alice,2025-10-10 07:14:30.062879,40.73790938930591,-73.94947615861456,Laptop,0,7,5.521177062220807,0
alice,2025-10-10 15:14:30.062882,40.76550396983,-73.9296154481855,Tablet,0,15,8.704016288741679,0
bob,2025-10-10 14:14:30.062885,34.115789529648644,-118.24552123110524,Tablet,0,14,7.072822046662002,0
bob,2025-10-10 09:14:30.062888,34.11113018568478,-118.30910116486487,Laptop,0,9,8.900402764503855,0
alice,2025-10-09 19:14:30.062891,40.69796617604426,-74.02602538332579,Tablet,0,19,2.3601004499314207,0
alice,2025-10-09 14:14:30.062894,40.80859990984544,-73.93406156860954,Phone,0,14,12.255023082775901,0
bob,2025-10-09 11:14:30.062897,34.07823482719203,-118.19710808066131,Phone,0,11,5.176864697637441,0
bob,2025-10-09 16:14:30.062900,34.091704362053015,-118.14395029910777,Phone,0,16,10.183702192396726,0
alice,2025-10-08 14:14:30.062903,40.771456802313224,-73.93712416021789,Phone,0,14,8.729899401787604,0
alice,2025-10-08 16:14:30.062907,40.66262930503171,-73.99727697649297,Laptop,0,16,5.627001088757963,0
bob,2025-10-08 12:14:30.062910,34.06695429601107,-118.3143572200254,Laptop,0,12,6.712523932079013,0
bob,2025-10-08 08:14:30.062913,34.05907001776638,-118.22201577177003,Tablet,0,8,2.1387256896733535,0
alice,2025-10-07 18:14:30.062916,40.64422533368368,-74.0902938118282,Tablet,0,18,10.424545810789422,0
alice,2025-10-07 10:14:30.062919,40.80055135848919,-74.07864951626672,Laptop,0,10,11.517525328215983,0
bob,2025-10-07 08:14:30.062922,34.012967753994836,-118.28797415235552,Tablet,0,8,5.972924751389983,0
bob,2025-10-07 19:14:30.062925,34.012865906589205,-118.29664411128357,Tablet,0,19,6.552259545082511,0
alice,2025-10-06 17:14:30.062928,40.78634367301852,-73.90916015526015,Tablet,0,17,11.550788019736594,0
alice,2025-10-06 11:14:30.062931,40.61893732059742,-74.06419726363261,Tablet,0,11,11.533700845530738,0
bob,2025-10-06 19:14:30.062934,34.06522832856624,-118.24542304035913,Phone,0,19,1.4573537970368486,0
