phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target,domain,path_len,query_len,url_len,scheme,host
9126856,https://go.ly/LjqLo,http://www.phishtank.com/phish_detail.php?phish_id=9126856,2025-06-13T15:02:35+00:00,yes,2025-06-13T15:12:14+00:00,yes,Other,go.ly,6,0,19,https,go.ly
9126847,http://www.allegrolokalne.pl-pozostale-aukcje-92.sbs,http://www.phishtank.com/phish_detail.php?phish_id=9126847,2025-06-13T14:58:02+00:00,yes,2025-06-13T15:02:55+00:00,yes,Allegro,pl-pozostale-aukcje-92.sbs,0,0,52,http,www.allegrolokalne.pl-pozostale-aukcje-92.sbs
9126846,http://185.38.142.14/,http://www.phishtank.com/phish_detail.php?phish_id=9126846,2025-06-13T14:57:32+00:00,yes,2025-06-13T15:02:55+00:00,yes,Other,,1,0,21,http,185.38.142.14
9126843,https://whm.165-154-255-171.cprapid.com/?ztpa,http://www.phishtank.com/phish_detail.php?phish_id=9126843,2025-06-13T14:53:56+00:00,yes,2025-06-13T15:02:55+00:00,yes,Other,cprapid.com,1,4,45,https,whm.165-154-255-171.cprapid.com
9126842,https://choixreprogrammationjour.com/,http://www.phishtank.com/phish_detail.php?phish_id=9126842,2025-06-13T14:53:54+00:00,yes,2025-06-13T15:02:55+00:00,yes,Other,choixreprogrammationjour.com,1,0,37,https,choixreprogrammationjour.com
9126841,https://choixreprogrammationjour.com/search,http://www.phishtank.com/phish_detail.php?phish_id=9126841,2025-06-13T14:53:44+00:00,yes,2025-06-13T15:02:55+00:00,yes,Other,choixreprogrammationjour.com,7,0,43,https,choixreprogrammationjour.com
9126839,https://regular-play-504393.framer.app/,http://www.phishtank.com/phish_detail.php?phish_id=9126839,2025-06-13T14:50:54+00:00,yes,2025-06-13T15:02:55+00:00,yes,Other,framer.app,1,0,39,https,regular-play-504393.framer.app
9126838,https://setmycurenly.duckdns.org/kcyjehqc,http://www.phishtank.com/phish_detail.php?phish_id=9126838,2025-06-13T14:49:57+00:00,yes,2025-06-13T15:02:55+00:00,yes,Other,duckdns.org,9,0,41,https,setmycurenly.duckdns.org
9126837,https://allegro.pl-kategorie8476362937268.icu,http://www.phishtank.com/phish_detail.php?phish_id=9126837,2025-06-13T14:45:22+00:00,yes,2025-06-13T14:52:07+00:00,yes,Allegro,pl-kategorie8476362937268.icu,0,0,45,https,allegro.pl-kategorie8476362937268.icu
9126833,https://allegrolokalnie.pz-5945-01.top/,http://www.phishtank.com/phish_detail.php?phish_id=9126833,2025-06-13T14:37:56+00:00,yes,2025-06-13T14:42:07+00:00,yes,Allegro,pz-5945-01.top,1,0,39,https,allegrolokalnie.pz-5945-01.top
9126821,http://allegro.pl-kategorie812741764422751.icu,http://www.phishtank.com/phish_detail.php?phish_id=9126821,2025-06-13T14:11:59+00:00,yes,2025-06-13T14:22:37+00:00,yes,Allegro,pl-kategorie812741764422751.icu,0,0,46,http,allegro.pl-kategorie812741764422751.icu
9126818,http://allegro.pl-532.cfd,http://www.phishtank.com/phish_detail.php?phish_id=9126818,2025-06-13T14:04:18+00:00,yes,2025-06-13T14:12:43+00:00,yes,Allegro,pl-532.cfd,0,0,25,http,allegro.pl-532.cfd
9126817,https://allegrolokalnie.pl-532.cfd,http://www.phishtank.com/phish_detail.php?phish_id=9126817,2025-06-13T14:04:15+00:00,yes,2025-06-13T14:12:43+00:00,yes,Allegro,pl-532.cfd,0,0,34,https,allegrolokalnie.pl-532.cfd
9126814,https://prod-poste-adsweb.usedpanda.com/,http://www.phishtank.com/phish_detail.php?phish_id=9126814,2025-06-13T13:59:38+00:00,yes,2025-06-13T14:03:05+00:00,yes,Other,usedpanda.com,1,0,40,https,prod-poste-adsweb.usedpanda.com
9126798,https://sites.google.com/view/webdegigi/home,http://www.phishtank.com/phish_detail.php?phish_id=9126798,2025-06-13T13:30:57+00:00,yes,2025-06-13T13:42:08+00:00,yes,Other,google.com,20,0,44,https,sites.google.com
9126797,https://allegrolokalnie.pl-oferta1737073.sbs/,http://www.phishtank.com/phish_detail.php?phish_id=9126797,2025-06-13T13:28:07+00:00,yes,2025-06-13T13:32:28+00:00,yes,Allegro,pl-oferta1737073.sbs,1,0,45,https,allegrolokalnie.pl-oferta1737073.sbs
9126784,https://sinafapac.com/strat,http://www.phishtank.com/phish_detail.php?phish_id=9126784,2025-06-13T13:26:45+00:00,yes,2025-06-13T13:32:28+00:00,yes,Other,sinafapac.com,6,0,27,https,sinafapac.com
9126777,https://allegro.pl-oferta9051192.sbs,http://www.phishtank.com/phish_detail.php?phish_id=9126777,2025-06-13T13:21:03+00:00,yes,2025-06-13T13:32:28+00:00,yes,Allegro,pl-oferta9051192.sbs,0,0,36,https,allegro.pl-oferta9051192.sbs
9126775,https://limonada.vercel.app/,http://www.phishtank.com/phish_detail.php?phish_id=9126775,2025-06-13T13:16:19+00:00,yes,2025-06-13T13:22:16+00:00,yes,Other,vercel.app,1,0,28,https,limonada.vercel.app
